년도,지역,작물,"면적

",생산량,단위생산량
2018,영덕군,배,71,"1,005","1,415"
2019,영덕군,배,71,"1,000","1,408"
2015,영덕군,복숭아,268,"4,736","1,767"
2016,영덕군,복숭아,285,"5,139","1,803"
2017,영덕군,복숭아,290,"4,582","1,580"
2018,영덕군,복숭아,291,"4,100","1,409"
2019,영덕군,복숭아,282,"3,400","1,206"
2016,영덕군,포도,31,496,"1,600"
2018,성주군,포도,6.4,102.5,"1,601.60"
2017,군위군,포도,26,417,"1,604"
2019,영천시,포도,"1,923.70","31,065.60","1,614.90"
2019,군위군,포도,20,323,"1,615"
2015,영덕군,감,56,740,"1,321"
2016,영덕군,감,56,773,"1,380"
2017,영덕군,감,42,749,"1,783"
2018,영덕군,감,38,748,"1,968"
2019,영덕군,감,38,698,"1,837"
2015,영덕군,대추,-,-,-
2016,영덕군,대추,-,-,-
2017,영덕군,대추,-,-,-
2018,영덕군,대추,-,-,-
2019,영덕군,대추,-,-,-
2015,영덕군,감귤,-,-,-
2016,영덕군,감귤,-,-,-
2017,영덕군,감귤,-,-,-
